Título;Descrição IMDB;Gênero;Nota;Descrição
Contra a Parede;Com a intenção de se libertar das rígidas restrições familiares, uma jovem mulher suicida cria um casamento de conveniência com um viciado de quarenta anos, um ato que levará a uma explosão de amor invejável.;Drama,Romance;7.9;com o intenção de se libertar de o rígido restrição familiar, um jovem mulher suicida criar um casamento de conveniência com um viciar de quarenta ano, um ato que levar a um explosão de amor invejável.
Anma to onna;Dois massagistas cegos viajam para um retiro na montanha.Um deles se apaixona por uma senhora visitante de Tóquio e investiga uma série de roubos.;Drama;7.1;dois massagista cego viajar para um retiro em o montanha. um de eles se apaixonar por um senhora visitante de Tóquio e investigar um série de roubo.
Sob Suspeita;Um advogado rico de San Juan é levado à delegacia para fazer-lhe perguntas sobre o corpo de uma menina de 12 anos em um parque. Outra jovem também foi estuprada e assassinada semanas antes e as evidências apontam para ele.;Policial,Drama,Suspense;6.4;um advogado rico de San Juan ser levar a o delegacia para fazer ele pergunta sobre o corpo de um menina de 12 ano em um parque. outro jovem também ser estuprar e assassinar semana antes e o evidência apontar para ele.
The Acid House;Três contos distorcidos de abuso, drogas, personalidades deslocadas e vida de insetos do escritor escocês Irvine Welsh.;Comédia,Drama;6.2;três conto distorcer de abuso, droga, personalidade deslocar e vida de inseto de o escritor escocês Irvine Welsh.
Organize Isler;Um jovem comediante suicida e suicida encontra um ladrão de carros que está disposto a ensinar -lhe algumas coisas sobre sua profissão.;Comédia,Drama;7.4;um jovem comediante suicida e suicida encontrar um ladrão de carro que estar disposto a ensinar ele algum coisa sobre seu profissão.
Prête-moi ta main;"Luis gosta da liberdade de ser solteiro.Ele tem um cheiro de perfumes e, portanto, dinheiro.No entanto, suas 5 irmãs e mãe acreditam que, aos 43 anos, ele deveria estar procurando uma esposa, não uma noite.Eles encontram candi/datas.Ele contrata uma ""noiva"".";Comédia,Romance;6.7;Luis gostar de o liberdade de ser solteiro. ele ter um cheirar de perfume e, portanto, dinheiro. em o entanto, seu 5 irmã e mãe acreditar que, a o 43 ano, ele dever estar procurar um esposo, não um noite. eles encontrar candi/data. ele contratar um « noiva «.
Morcegos;Os morcegos geneticamente mutados escapam e cabe a um especialista em morcegos e ao xerife local detê -los.;Terror,Ficção científica,Suspense;3.9;o morcego geneticamente mutar escapar e caber a um especialista em morcego e a o xerife local deter eles.
Regalo di Natale;Na noite de Natal, um grupo de ex -amigos se reúne depois de muito tempo com a intenção de arrancar um industrial rico em um jogo de pôquer.Ódulos e desconfiança antigos conflitam com a nostalgia pelas amizades perdidas.;Drama;7.6;em o noite de Natal, um grupo de ex -amigos se reunir depois de muito tempo com o intenção de arrancar um industrial rico em um jogo de pôquer. Ódulos e desconfiança antigo conflitar com o nostalgia por o amizade perder.
No Caminho das Dunas;A busca de um adolescente por amor o leva a ficar obcecado por uma criança que mora perto.;Drama,Romance;7.1;o busca de um adolescente por amor o levar a ficar obcecar por um criança que morar perto.
Império;Um traficante bem -sucedido de drogas do South Bronx vira as costas em suas raízes e dá dinheiro a um corretor de Wall Street para investir para ele.;Policial,Drama,Suspense;5.9;um traficante bem -suceder de droga de o South Bronx ver o costa em seu raíz e dar dinheiro a um corretor de Wall Street para investir para ele.
Identidade;Desamparados em um motel desolado de Nevada durante uma violenta tempestade, dez estranhos se encontram quando percebem que estão sendo mortos um a um.;Mistério,Suspense;7.3;desamparar em um motel desolar de Nevada durante um violento tempestade, dez estranho se encontrar quando perceber que estar ser matar um a um.
O Operário;Um trabalhador industrial que não dormiu em um ano começa a duvidar de sua própria sanidade.;Drama,Suspense;7.7;um trabalhador industrial que não dormir em um ano começar a duvidar de seu próprio sanidade.
22 Milhas;Um oficial de elite da inteligência americana, com a ajuda de uma unidade altamente secreta de ordens táticas, tenta extrair um misterioso policial com informações confidenciais do país.;Ação,Suspense;6.1;um oficial de elite de o inteligência americano, com o ajuda de um unidade altamente secreto de ordem tática, tentar extrair um misterioso policial com informação confidencial de o país.
Boudu, Salvo das Águas;Um livreiro salva um vagabundo de se afogar e abriga -o, mas o comportamento estranho do Tramp começa a desgastar todos.;Comédia;7.3;um livreiro salvar um vagabundo de se afogar e abrigar -o, mas o comportamento estranho de o Tramp começar a desgastar todo.
Cara Gente Branca;A vida de quatro estudantes negros em uma faculdade da Ivy League.;Comédia,Drama,Romance;6.1;o vida de quatro estudante negro em um faculdade de o Ivy League.
Bronco Billy;Um vaqueiro idealista dos tempos modernos luta para manter seu show do Oeste Selvagem à tona diante da má sorte e do interesse decrescente.;Ação,Aventura,Comédia;6.1;um vaqueiro idealista de o tempo moderno lutar para manter seu show de o Oeste Selvagem a o tona diante de o má sorte e de o interesse decrescente.
Garotas sem Rumo;Duas meninas ricas dos subúrbios colidem com a cultura de gangues latinas do leste de Los Angeles.;Policial,Drama;5.4;dois menina rico de o subúrbio colidir com o cultura de gangue latino de o leste de Los Angeles.
Desconstruindo Harry;Avidamente aguardando seu prêmio de literatura, Harry Block recorda acontecimentos de seu passado e cenas de seus livros mais vendidos como personagens, reais e fictícios, voltam para assombrá-lo.;Comédia;7.3;avidamente aguardar seu prêmio de literatura, Harry Block recordar acontecimento de seu passado e cena de seu livro mais vender como personagem, real e fictício, voltar para assombr ele.
Alto Controle;Uma rixa se desenvolve entre dois controladores de tráfego aéreo: um arrogante e determinado, enquanto o outro é contido e despreocupado, o que inevitavelmente afeta suas vidas.;Comédia,Drama,Romance;6.0;um rixa se desenvolver entre dois controlador de tráfego aéreo : um arrogante e determinar, enquanto o outro ser conter e despreocupar, o que inevitavelmente afetar seu vida.
Colapso no Ártico;Enviado para avaliar o impacto ambiental da perfuração de petróleo no Árctico, James Hoffman entra em conflito com o chefe da equipa de perfuração, que quer fazer o trabalho.;Terror,Mistério,Suspense;5.5;Enviado para avaliar o impacto ambiental de o perfuração de petróleo em o Árctico, James Hoffman entrar em conflito com o chefe de o equipa de perfuração, que querer fazer o trabalho.
A Profecia;Um funcionário americano percebe que seu jovem filho pode ser literalmente o diabo encarnado.;Drama,Fantasia,Terror;5.5;um funcionário americano perceber que seu jovem filho poder ser literalmente o diabo encarnar.
Um Conto de Canterbury;Três peregrinos modernos investigam um crime bizarro em uma pequena cidade a caminho de Canterbury.;Comédia,Drama,Mistério;7.4;três peregrino moderno investigar um crime bizarro em um pequeno cidade a caminho de Canterbury.
Loucos por Dinheiro;Quando um casal descobre que um bule de chá lhes dá dinheiro toda vez que se lesionam, eles devem aceitar até onde estão dispostos a ir.;Comédia,Fantasia,Suspense;6.3;quando um casal descobrir que um bule de chá eles dar dinheiro todo vez que se lesionar, eles dever aceitar até onde estar disposto a ir.
Felizes Dezesseis;Determinado a ter uma vida familiar normal assim que sua mãe sair da prisão, um adolescente escocês, vindo de uma dura realidade social, sai em busca de arrumar dinheiro para comprar uma casa.;Policial,Drama;7.4;determinar a ter um vida familiar normal assim que seu mãe sair de o prisão, um adolescente escocês, vir de um duro realidade social, sair em busca de arrumar dinheiro para comprar um casa.
[Rec];Um repórter de televisão e um cinegrafista seguem uma equipe de emergência para um prédio escuro e rapidamente ficam presos dentro de algo assustador;Terror,Mistério,Suspense;7.4;um repórter de televisão e um cinegrafista seguir um equipe de emergência para um prédio escuro e rapidamente ficar preso dentro de algo assustador
O Fio da Suspeita;Uma mulher rica é assassinada em sua casa de praia.O marido é supostamente nocauteado primeiro.Ele herda tudo.Ele tem uma ex -promotora criminal que o representa no tribunal.;Drama,Mistério,Suspense;6.5;um mulher rico ser assassinar em seu casa de praia. o marido ser supostamente nocautear primeiro. ele herdar tudo. ele ter um ex -promotora criminal que o representar em o tribunal.
Ferida Aberta;Monique está morrendo. Ao seu redor, se reúnem seu marido infiel, seu filho, que é parecido com o pai, e sua nora. Nós os observamos brincando com a vida enquanto ela morre.;Drama;7.4;Monique estar morrer. a o seu redor, se reunir seu marido infiel, seu filho, que ser parecer com o pai, e seu nora. nós o observar brincar com o vida enquanto ela morrer.
Waar;Os esforços das forças de segurança paquistanesas em sua luta contra o terrorismo e como a vida dos funcionários de segurança são afetados.Um oficial de segurança aposentado retorna para salvar o Paquistão de um grande ataque terrorista.;Ação,Policial,Drama;7.5;o esforço de o força de segurança paquistanês em seu luta contra o terrorismo e como o vida de o funcionário de segurança ser afetar. um oficial de segurança aposentar retornar para salvar o Paquistão de um grande ataque terrorista.
Gallipoli;Dois velocistas australianos enfrentam as realidades brutais da guerra quando são enviadas para lutar na campanha de Gallipoli na Turquia durante a Primeira Guerra Mundial.;Aventura,Drama,História;7.4;dois velocista australiano enfrentar o realidade brutal de o guerra quando ser enviar para lutar em o campanha de Gallipoli em o Turquia durante o Primeira Guerra Mundial.
A Hora do Rango;Os jovens funcionários do restaurante Shenaniganz evitam coletivamente o tédio e a idade adulta com suas artimanhas.;Comédia;6.7;o jovem funcionário de o restaurante Shenaniganz evitar coletivamente o tédio e o idade adulto com seu artimanha.
Mulheres: O Sexo Forte;Uma rica nova-iorquina luta contra a indecisào de deixar seu marido traidor. Enquanto isso, ela e suas amigas descobrem que as mulheres realmente podem ter tudo.;Comédia,Drama;5.0;um rico nova-iorquino lutar contra o indecisào de deixar seu marido traidor. enquanto isso, ela e seu amiga descobrir que o mulher realmente poder ter tudo.
Meus Caros Amigos;Quatro amigos inseparáveis tentam enfrentar sua crise na meia -idade com excursões e brincadeiras às custas de suas famílias e das pessoas ao seu redor.;Comédia,Drama;8.0;quatro amigo inseparável tentar enfrentar seu crise em o meia -idar com excursão e brincadeira a o custa de seu família e de o pessoa a o seu redor.
O Sonho Eterno;Um arquiteto da era vitoriana, encomendado pelo duque de Towers para projetar seus estábulos, se apaixona pela duquesa.;Drama,Fantasia,Romance;6.9;um arquiteto de o ser vitoriano, encomendar por o duque de Towers para projetar seu estábulo, se apaixonar por o duquesa.
Marte Ataca!;A Terra é invadida por marcianos com armas imbatíveis e um senso de humor cruel.;Comédia,Ficção científica;6.4;o terra ser invadir por marciano com arma imbatível e um senso de humor cruel.
As Amigas;Uma jovem volta à sua cidade natal, Turim, para montar um novo salão de moda e se envolve com uma mulher problemática e seus três amigos ricos.;Drama,Romance;7.2;um jovem volta a o seu cidade natal, Turim, para montar um novo salão de moda e se envolver com um mulher problemático e seu três amigo rico.
Uma Vez Mais;Um homem decide deixar sua esposa e encontra sua felicidade em outro lugar.Ao longo do caminho, ele conhece um homem com quem se apaixona.;Drama;6.9;um homem decidir deixar seu esposo e encontrar seu felicidade em outro lugar. ao longo de o caminho, ele conhecer um homem com quem se apaixonar.
Um Sonho Possível;A história de Michael Oher, um menino sem teto traumatizado que se tornaria um campeão do futebol americano com a ajuda de uma mulher carinhosa e sua família.;Biografia,Drama,Esportes;7.6;o história de Michael Oher, um menino sem teto traumatizar que se tornar um campeão de o futebol americano com o ajuda de um mulher carinhoso e seu família.
Será Que?;Wallace, exausto após uma série de relacionamentos fracassados, forma um vínculo imediato com Chantry, que vive com seu namorado de toda a vida. Juntos, eles descobrem o que significa se seu melhor amigo é também o amor de sua vida.;Comédia,Romance;6.8;Wallace, exaustar após um série de relacionamento fracassar, forma um vínculo imediato com Chantry, que viver com seu namorado de todo o vida. junto, eles descobrir o que significar se seu bom amigo ser também o amor de seu vida.
Inocente Mordida;Marie é uma vampira com sede de bandidos.Quando ela deixa de descartar adequadamente uma de suas vítimas, uma violenta chefe da máfia, ela morde mais do que pode mastigar e enfrenta um novo perigo imortal.;Ação,Comédia,Policial;6.2;Marie ser um vampira com sede de bandido. quando ela deixar de descartar adequadamente um de seu vítima, um violento chefe de o máfia, ela morder mais de o que poder mastigar e enfrentar um novo perigo imortal.
Romy e Michele;Dois amigos estúpidos e inseparáveis pegam a estrada para a reuniào de dez anos do colégio, e inventam uma mentira sobre suas vidas, no intuito de impressionar seus colegas.;Comédia;6.3;dois amigo estúpido e inseparável pegar o estrada para o reuniào de dez ano de o colégio, e inventar um mentira sobre seu vida, em o intuito de impressionar seu colega.
Paixão de Bravo;O campeão aposentado de rodeio Jeff McCloud concorda em ser o mentor do novato competidor de rodeio Wes Merritt contra os desejos da esposa de Merritt, que teme os perigos deste esporte violento.;Ação,Drama,Esportes;7.4;o campeão aposentar de rodeio Jeff McCloud concordar em ser o mentor de o novato competidor de rodeio Wes Merritt contra o desejo de o esposo de Merritt, que temer o perigo de este esporte violento.
O Doce Amanhã;Um acidente de ônibus numa cidade pequena leva um advogado à cidade para defender as famílias, mas ele descobre que nem tudo é o que parece.;Drama;7.5;um acidente de ônibus em um cidade pequeno levar um advogado a o cidade para defender o família, mas ele descobrir que nem tudo ser o que parecer.
Subway;Ao improvisar um roubo na casa de um magnata sombrio, Fred se refugia no universo surreal e no quadril do metrô de Paris e encontra seus variados habitantes, os capangas do magnata e sua jovem esposa desencantada.;Suspense;6.5;ao improvisar um roubo em o casa de um magnata sombrio, Fred se refugiar em o universo surreal e em o quadril de o metrô de Paris e encontrar seu variado habitante, o capanga de o magnata e seu jovem esposo desencantar.
Adoradores do Diabo;Um psiquiatra de Nova York descobre que um culto inspirado em Brujería, que acredita no sacrifício de crianças, tem um grande interesse em seu próprio filho.;Policial,Drama,Terror;6.0;um psiquiatra de Nova York descobrir que um culto inspirar em Brujería, que acreditar em o sacrifício de criança, ter um grande interesse em seu próprio filho.
Dias Incríveis;Três amigos estão tentando reconquistar seus dias de glória ao abrir uma fraternidade perto de sua alma mater.;Comédia;7.0;três amigo estar tentar reconquistar seu dia de glória a o abrir um fraternidade perto de seu alma mater.
Ela e os Caras;Uma moderna recontagem de Branca de Neve contra estudantes em seu primeiro ano de faculdade no sistema grego.;Comédia,Drama,Romance;6.1;um moderno recontagem de Branca de Neve contra estudante em seu primeiro ano de faculdade em o sistema grego.
Pulando a Vassoura;Duas famílias muito diferentes convergem em Martha's Vineyard em um fim de semana para um casamento.;Comédia,Drama;5.6;dois família muito diferente converger em Martha's Vineyard em um fim de semana para um casamento.
Sangue na Veia;Quando o marido desaparece durante as férias do Caribe, uma mulher parte sozinha para derrubar os homens que ela acha que são responsáveis.;Ação,Policial,Suspense;5.7;quando o marido desaparecer durante o férias de o Caribe, um mulher parte sozinho para derrubar o homem que ela achar que ser responsável.
Dívida de Sangue;Uma jovem professora se torna uma fora-da-lei para vingar seu pai assassinado.;Comédia,Romance,Faroeste;6.8;um jovem professora se tornar um fora-da-lei para vingar seu pai assassinar.
A Morte num Beijo;Quando uma bela loira é assassinada, um detetive reage de forma violenta. Durante as investigações, descobre uma misteriosa caixa preta que contém a solução do caso.;Policial,Filme noir,Mistério;7.5;quando um belo loira ser assassinar, um detetive reagir de forma violento. durante o investigação, descobrir um misterioso caixa preto que conter o solução de o caso.
Emmanuelle;A esposa de um diplomata francês em Bangcoc embarca em uma jornada de descoberta sexual.;Drama,Romance;5.2;o esposo de um diplomata francês em Bangcoc embarcar em um jornada de descoberta sexual.
O Sul;Uma mulher reflete sobre sua relação de infância com seu pai, tentando compreender a profundidade de seu desespero e a verdade de seus mitos.;Drama,Mistério,Romance;7.8;um mulher refletir sobre seu relação de infância com seu pai, tentar compreender o profundidade de seu desespero e o verdade de seu mito.
Marcas da Violência;Um homem torna-se um herói através de um ato de violência, que desencadeia repercussões na sua familia.;Ação,Policial,Drama;7.4;um homem tornar se um herói através de um ato de violência, que desencadear repercussão em o seu familia.
O Paraíso Infernal;Em um remoto porto comercial da América do Sul, o gerente de uma empresa de frete aéreo é forçado a arriscar a vida de seus pilotos para ganhar um importante contrato.;Aventura,Drama,Romance;7.6;em um remoto porto comercial de o América de o Sul, o gerente de um empresa de frete aéreo ser forçar a arriscar o vida de seu piloto para ganhar um importante contrato.
Flor do Deserto;Waris Dirie, nascido em 1965 na Somália, foge aos 13 anos quando vendido como 4ª esposa.Ela é empregada na embaixada da Somália em Londres, depois no McDonald's, onde é descoberta e se torna um modelo de topo.1997, ela fala contra a mutilação genital feminina.;Biografia,Drama;7.3;Waris Dirie, nascer em 1965 em o Somália, fugir a o 13 ano quando vender como 4ª esposo. ela ser empregar em o embaixada de o Somália em Londres, depois em o McDonald's, onde ser descobrir e se tornar um modelo de topo. 1997, ela falar contra o mutilação genital feminino.
Megatubarão;Um grupo de cientistas da Fossa das Marianas encontram ao maior predador da historia, o Megalodon.;Ação,Terror,Ficção científica;5.6;um grupo de cientista de o Fossa de o Marianas encontrar a o grande predador de o historia, o Megalodon.
Como Ela Dança;Após a morte de sua irmã por dependência de drogas, uma estudante do ensino médio é forçada a deixar sua escola particular a retornar ao seu antigo bairro cheio de crimes, onde ela rejeita uma paixão improvável pelo mundo competitivo da dança de passo.;Drama;3.5;após o morte de seu irmã por dependência de droga, um estudante de o ensino médio ser forçar a deixar seu escola particular a retornar a o seu antigo bairro cheio de crime, onde ela rejeitar um paixão improvável por o mundo competitivo de o dança de passo.
Agora e Sempre;Quatro meninas de 12 anos crescem juntas durante um verão agitado em uma pequena cidade em 1970.;Comédia,Drama,Romance;6.7;quatro menina de 12 ano crescer juntas durante um verão agitar em um pequeno cidade em 1970.
Elysium;No ano de 2154, os ricos vivem em uma estação espacial artificial, enquanto o resto da população reside em uma Terra em ruínas. Um homem assume uma missão que poderia trazer igualdade aos mundos polarizados.;Ação,Drama,Ficção científica;6.6;em o ano de 2154, o rico viver em um estação espacial artificial, enquanto o resto de o população residir em um terra em ruína. um homem assumir um missão que poder trazer igualdade a o mundo polarizar.
Disposto a Tudo;A vida de um ator aspirante aumenta quando sua ex-esposa despeja sua filha mandona e selvagem em sua custódia.;Comédia,Drama;5.5;o vida de um ator aspirante aumentar quando seu ex-esposa despejar seu filha mandono e selvagem em seu custódia.
Madrugada Muito Louca;Um funcionário de escritório descendente de coreanos e seu amigo chapado descendente de indianos embarcam em uma missão para satisfazer seu desejo por hambúrgueres White Castle.;Aventura,Comédia;7.0;um funcionário de escritório descendente de coreano e seu amigo chapar descendente de indiano embarcar em um missão para satisfazer seu desejo por hambúrguer White Castle.
Alexandre;Alexandre, o rei da Macedônia e um dos maiores líderes militares da história da guerra, conquistou grande parte do mundo conhecido.;Ação,Biografia,Drama;5.6;Alexandre, o rei de o Macedônia e um de o grande líder militar de o história de o guerra, conquistar grande parte de o mundo conhecer.
Earth;É 1947 e as fronteiras entre a Índia e o Paquistão estão sendo desenhadas.Uma jovem testemunha a tragédia quando sua ayah (babá) é pega entre o amor de dois homens e a maré crescente da violência política e religiosa.;Drama,Romance,Guerra;7.6;ser 1947 e o fronteira entre o Índia e o Paquistão estar ser desenhar. um jovem testemunha o tragédia quando seu ayah ( babá ) ser pegar entre o amor de dois homem e o maré crescente de o violência político e religioso.
Os Crimes de Snowtown;Baseado em fatos reais, Jamie, de 16 anos, se apaixona pelo namorado da sua mãe e sua turma de autointitulados vigias de bairro, um relacionamento que leva a uma onda de tortura e assassinato.;Biografia,Policial,Drama;6.6;basear em fato real, Jamie, de 16 ano, se apaixonar por o namorado de o seu mãe e seu turma de autointitular vigia de bairro, um relacionamento que levar a um onda de tortura e assassinato.
O Peso da Água;Um fotógrafo de jornais pesquisa um homicídio duplo de 1873 e encontra sua própria vida paralelamente à de uma testemunha que sobreviveu à provação trágica.;Policial,Drama,Mistério;5.8;um fotógrafo de jornal pesquisa um homicídio duplo de 1873 e encontrar seu próprio vida paralelamente a ela de um testemunha que sobreviver a o provação trágico.
Quase Ilegal;Três caras do ensino médio tentam fazer um filme pornô.;Comédia;4.7;três cara de o ensino médio tentar fazer um filme pornô.
Perseguição Implacável;Um ex-agente da CIA é obrigado a fugir após seus atuais empregadores apagarem todos os registros de sua existência e colocarem um preço sob sua cabeça. Ao lado de sua filha distante, ele se vê em meio a uma conspiração internacional.;Ação,Suspense;6.0;um ex-agente de o CIA ser obrigar a fugir após seu atual empregador apagar todo o registro de seu existência e colocar um preço sob seu cabeça. a o lado de seu filha distante, ele se ver em meio a um conspiração internacional.
Wanted;Radhe é um gângster cruel que matará alguém por dinheiro.Ele é atraído por Jhanvi, uma garota de classe média, que não aprova seu trabalho e quer que ele mude.;Ação,Policial,Suspense;6.6;Radhe ser um gângster cruel que matar alguém por dinheiro. ele ser atrair por Jhanvi, um garota de classe médio, que não aprovar seu trabalho e querer que ele mudir.
Maverick;Bret Maverick, que precisa de dinheiro para um torneio de pôquer, enfrenta vários contratempos e desafios, incluindo uma adorável ladra.;Ação,Aventura,Comédia;7.0;Bret Maverick, que precisar de dinheiro para um torneio de pôquer, enfrentar vários contratempo e desafio, incluir um adorável ladra.
Pra Lá de Bagdá;A história de três homens não tão brilhantes, que inventam uma série de planos malucos para tirar um amigo da cadeia.;Comédia,Policial;6.6;o história de três homem não tão brilhante, que inventar um série de plano maluco para tirar um amigo de o cadeia.
Salt;Uma agente da CIA foge depois que um desertor a acusa de ser uma espiã russa.;Ação,Suspense;6.4;um agente de o CIA fugir depois que um desertor ela acusar de ser um espiã russo.
Morte na Universidade;"Dois colegas de quarta -feira saem e festejaram, resultando em notas ruins.Eles aprendem sobre a cláusula que diz: ""Se seu colega de quarto morre, você recebe um A"" e decide encontrar alguém que está à beira, por assim dizer, para morar com eles.";Comédia;6.0;dois colega de quarto -feira sair e festejar, resultar em nota ruim. eles aprender sobre o cláusula que dizer : « se seu colega de quarto morrer, você receber um a « e decidir encontrar alguém que estar a o beira, por assim dizer, para morar com eles.
Vokzal dlya dvoikh;Uma garçonete da estação ferroviária provincial se apaixona por um passageiro acidental.Antes deste passageiro, está a ameaça de prisão distante pelo crime que ele não cometeu.;Comédia,Drama,Romance;7.8;um garçonete de o estação ferroviário provincial se apaixonar por um passageiro acidental. antes de este passageiro, estar o ameaça de prisão distante por o crime que ele não cometer.
O Rei dos Falsários;"""Le Dabe"" se aposentou há muitos anos e agora ele vive nos trópicos, onde possui estábulos e cavalos.Ele é um homem muito rico.Ele era o rei de todos os falsificadores de dinheiro.Ele é contatado de Paris para organizar um novo emprego.Ele diz que não.Mas quando ele descobre a moeda que deve ser falsificada é o florim holandês, ele aceita imediatamente.Ele se aposentou depois de ter um conselho ...";Comédia,Policial;7.0;« Le Dabe « se aposentar haver muito ano e agora ele viver em o trópico, onde possuir estábulo e cavalo. ele ser um homem muito rico. ele ser o rei de todo o falsificador de dinheiro. ele ser contatar de Paris para organizar um novo emprego. ele dizer que não. mas quando ele descobrir o moeda que dever ser falsificar ser o florim holandês, ele aceitar imediatamente. ele se aposentar depois de ter um conselho...
Tetro;Bennie viaja para Buenos Aires para encontrar seu irmão mais velho, um escritor que já foi promissor que agora é um remanescente de seu antigo eu.A descoberta de Bennie da peça quase acabada de seu irmão pode ter a resposta para entender seu passado compartilhado e renovar seu vínculo.;Drama;6.8;Bennie viajar para Buenos Aires para encontrar seu irmão mais velho, um escritor que já ser promissor que agora ser um remanescente de seu antigo eu. o descoberta de Bennie de o peça quase acabar de seu irmão poder ter o resposta para entender seu passado compartilhar e renovar seu vínculo.
Ne mozhet byt!;Três histórias sobre um casamento - sua traição, seu tédio, seu absurdo.;Comédia,Drama,Musical;7.7;três história sobre um casamento - seu traição, seu tédio, seu absurdo.
Terra Selvagem;Um veterano caçador ajuda a um agente do FBI a investigar um homicídio duma jovem mulher numa reserva indígena em Wyoming, Estados Unidos.;Policial,Drama,Mistério;7.7;um veterano caçador ajudar a um agente de o FBI a investigar um homicídio de um jovem mulher em um reserva indígeno em Wyoming, Estados Unidos.
Condenação Brutal;Apenas seis meses após sua sentença, o preso Frank Leone é transferido para uma prisão de segurança máxima.;Ação,Policial,Drama;6.4;apenas seis mês após seu sentença, o preso Frank Leone ser transferir para um prisão de segurança grande.
