Título;Descrição;Gênero;Nota
Adoradores do Diabo;Um psiquiatra de Nova York descobre que um culto inspirado em Brujería, que acredita no sacrifício de crianças, tem um grande interesse em seu próprio filho.;Policial,Drama,Terror;6.0
Dias Incríveis;Três amigos estão tentando reconquistar seus dias de glória ao abrir uma fraternidade perto de sua alma mater.;Comédia;7.0
Ela e os Caras;Uma moderna recontagem de Branca de Neve contra estudantes em seu primeiro ano de faculdade no sistema grego.;Comédia,Drama,Romance;6.1
Pulando a Vassoura;Duas famílias muito diferentes convergem em Martha's Vineyard em um fim de semana para um casamento.;Comédia,Drama;5.6
Sangue na Veia;Quando o marido desaparece durante as férias do Caribe, uma mulher parte sozinha para derrubar os homens que ela acha que são responsáveis.;Ação,Policial,Suspense;5.7
Dívida de Sangue;Uma jovem professora se torna uma fora-da-lei para vingar seu pai assassinado.;Comédia,Romance,Faroeste;6.8
A Morte num Beijo;Quando uma bela loira é assassinada, um detetive reage de forma violenta. Durante as investigações, descobre uma misteriosa caixa preta que contém a solução do caso.;Policial,Filme noir,Mistério;7.5
Emmanuelle;A esposa de um diplomata francês em Bangcoc embarca em uma jornada de descoberta sexual.;Drama,Romance;5.2
O Sul;Uma mulher reflete sobre sua relação de infância com seu pai, tentando compreender a profundidade de seu desespero e a verdade de seus mitos.;Drama,Mistério,Romance;7.8
Marcas da Violência;Um homem torna-se um herói através de um ato de violência, que desencadeia repercussões na sua familia.;Ação,Policial,Drama;7.4
O Paraíso Infernal;Em um remoto porto comercial da América do Sul, o gerente de uma empresa de frete aéreo é forçado a arriscar a vida de seus pilotos para ganhar um importante contrato.;Aventura,Drama,Romance;7.6
Flor do Deserto;Waris Dirie, nascido em 1965 na Somália, foge aos 13 anos quando vendido como 4ª esposa.Ela é empregada na embaixada da Somália em Londres, depois no McDonald's, onde é descoberta e se torna um modelo de topo.1997, ela fala contra a mutilação genital feminina.;Biografia,Drama;7.3
Megatubarão;Um grupo de cientistas da Fossa das Marianas encontram ao maior predador da historia, o Megalodon.;Ação,Terror,Ficção científica;5.6
Como Ela Dança;Após a morte de sua irmã por dependência de drogas, uma estudante do ensino médio é forçada a deixar sua escola particular a retornar ao seu antigo bairro cheio de crimes, onde ela rejeita uma paixão improvável pelo mundo competitivo da dança de passo.;Drama;3.5
Agora e Sempre;Quatro meninas de 12 anos crescem juntas durante um verão agitado em uma pequena cidade em 1970.;Comédia,Drama,Romance;6.7
Elysium;No ano de 2154, os ricos vivem em uma estação espacial artificial, enquanto o resto da população reside em uma Terra em ruínas. Um homem assume uma missão que poderia trazer igualdade aos mundos polarizados.;Ação,Drama,Ficção científica;6.6
Disposto a Tudo;A vida de um ator aspirante aumenta quando sua ex-esposa despeja sua filha mandona e selvagem em sua custódia.;Comédia,Drama;5.5
Madrugada Muito Louca;Um funcionário de escritório descendente de coreanos e seu amigo chapado descendente de indianos embarcam em uma missão para satisfazer seu desejo por hambúrgueres White Castle.;Aventura,Comédia;7.0
Alexandre;Alexandre, o rei da Macedônia e um dos maiores líderes militares da história da guerra, conquistou grande parte do mundo conhecido.;Ação,Biografia,Drama;5.6
Earth;É 1947 e as fronteiras entre a Índia e o Paquistão estão sendo desenhadas.Uma jovem testemunha a tragédia quando sua ayah (babá) é pega entre o amor de dois homens e a maré crescente da violência política e religiosa.;Drama,Romance,Guerra;7.6
Os Crimes de Snowtown;Baseado em fatos reais, Jamie, de 16 anos, se apaixona pelo namorado da sua mãe e sua turma de autointitulados vigias de bairro, um relacionamento que leva a uma onda de tortura e assassinato.;Biografia,Policial,Drama;6.6
O Peso da Água;Um fotógrafo de jornais pesquisa um homicídio duplo de 1873 e encontra sua própria vida paralelamente à de uma testemunha que sobreviveu à provação trágica.;Policial,Drama,Mistério;5.8
Quase Ilegal;Três caras do ensino médio tentam fazer um filme pornô.;Comédia;4.7
Perseguição Implacável;Um ex-agente da CIA é obrigado a fugir após seus atuais empregadores apagarem todos os registros de sua existência e colocarem um preço sob sua cabeça. Ao lado de sua filha distante, ele se vê em meio a uma conspiração internacional.;Ação,Suspense;6.0
Wanted;Radhe é um gângster cruel que matará alguém por dinheiro.Ele é atraído por Jhanvi, uma garota de classe média, que não aprova seu trabalho e quer que ele mude.;Ação,Policial,Suspense;6.6
Maverick;Bret Maverick, que precisa de dinheiro para um torneio de pôquer, enfrenta vários contratempos e desafios, incluindo uma adorável ladra.;Ação,Aventura,Comédia;7.0
Pra Lá de Bagdá;A história de três homens não tão brilhantes, que inventam uma série de planos malucos para tirar um amigo da cadeia.;Comédia,Policial;6.6
Salt;Uma agente da CIA foge depois que um desertor a acusa de ser uma espiã russa.;Ação,Suspense;6.4
Morte na Universidade;"Dois colegas de quarta -feira saem e festejaram, resultando em notas ruins.Eles aprendem sobre a cláusula que diz: ""Se seu colega de quarto morre, você recebe um A"" e decide encontrar alguém que está à beira, por assim dizer, para morar com eles.";Comédia;6.0
Vokzal dlya dvoikh;Uma garçonete da estação ferroviária provincial se apaixona por um passageiro acidental.Antes deste passageiro, está a ameaça de prisão distante pelo crime que ele não cometeu.;Comédia,Drama,Romance;7.8
O Rei dos Falsários;"""Le Dabe"" se aposentou há muitos anos e agora ele vive nos trópicos, onde possui estábulos e cavalos.Ele é um homem muito rico.Ele era o rei de todos os falsificadores de dinheiro.Ele é contatado de Paris para organizar um novo emprego.Ele diz que não.Mas quando ele descobre a moeda que deve ser falsificada é o florim holandês, ele aceita imediatamente.Ele se aposentou depois de ter um conselho ...";Comédia,Policial;7.0
Tetro;Bennie viaja para Buenos Aires para encontrar seu irmão mais velho, um escritor que já foi promissor que agora é um remanescente de seu antigo eu.A descoberta de Bennie da peça quase acabada de seu irmão pode ter a resposta para entender seu passado compartilhado e renovar seu vínculo.;Drama;6.8
Ne mozhet byt!;Três histórias sobre um casamento - sua traição, seu tédio, seu absurdo.;Comédia,Drama,Musical;7.7
Terra Selvagem;Um veterano caçador ajuda a um agente do FBI a investigar um homicídio duma jovem mulher numa reserva indígena em Wyoming, Estados Unidos.;Policial,Drama,Mistério;7.7
Condenação Brutal;Apenas seis meses após sua sentença, o preso Frank Leone é transferido para uma prisão de segurança máxima.;Ação,Policial,Drama;6.4
A Casa do Espanto;Um escritor se muda para uma casa embruxada depois que sua tia se la deixa por herença.;Comédia,Fantasia,Terror;6.1
Rio Congelado;Uma mãe procura outra fonte de renda, quando o marido sai com o dinheiro destinado à nova casa móvel.Um território indiano próximo se estende através da fronteira para o Canadá com um rio congelado dirigível.Contrabando?;Policial,Drama;7.1
Violência Gratuita;Dois jovens psicopatas levam a uma família refém a sua cabana.;Policial,Drama,Suspense;6.5
Godzilla;Um gigante monstro destrue todo o que pode em Nova Iorque, para dete-lho um cientista, sua ex namorada e outro heróes deberám salvar a cidade.;Ação,Ficção científica,Suspense;5.4
O Amor em 5 Tempos;Cinco etapas no romance entre uma mulher e um homem.;Drama,Romance;6.6
A Caça;Um professor vive uma vida solitária enquanto luta pela custódia de seu filho. Sua vida melhora lentamente quando ele encontra o amor e recebe boas notícias de seu filho, mas sua sorte está prestes a mudar por uma pequena mentira inocente.;Drama;8.3
Uma Escola Muito Doida;Richard Clark acaba de deixar a conhecida academia de Wellington para ensinar na Marion Barry High School.Agora, ele tentará inspirar os alunos da média D a tirar boas notas e tentar conquistar um colega professor.;Comédia,Policial,Romance;5.5
Assalto à 13ª DP;Uma parceria improvável entre um oficial de patrulha rodoviária, dois criminosos e um secretário de delegacia é formada para defender uma delegacia extinta de Los Angeles contra o cerco de uma gangue de rua sanguinária.;Ação,Policial,Suspense;7.3
Narciso Negro;Um grupo de freiras lutam para estabelecer um convento no Himalaia, enquanto o isolamento, o clima extremo, a altitude e os confrontos culturais conspiram para enlouquecer os missionários bem-intencionados.;Drama;7.8
O Ódio;24 horas na vida de três jovens nos subúrbios franceses no dia seguinte a uma rebelião violenta.;Policial,Drama;8.1
O Voo da Fênix;Após um acidente de avião no Saara, um dos sobreviventes diz que ele é um projetista de aviões e que eles podem fazer um avião a partir dos destroços.;Aventura,Drama;7.5
Partner;Um 'guru do amor' ajuda a outros homens, uma mãe solteira viúva, mas se envolve em controvérsias.;Comédia,Drama,Romance;5.7
Bakha satang;Consiste das cinco fases da vida de um homem e sobre seu motivo para ter cometido suicídio no final.;Drama;7.6
Les bronzés;Os turistas que chegam a um campo de clubes na Costa do Marfim estão determinados a esquecer seus problemas cotidianos e decepções emocionais.Jogos, competições, passeios, banho e queimaduras solares acompanham uma sucessão contínua de assuntos casuais.;Comédia,Romance;6.8
Enter Nowhere;Três estranhos chegam um a um em uma cabana misteriosa no meio do nada, apenas para saber que eles foram reunidos por um motivo.;Mistério,Ficção científica,Suspense;6.5
Uma Herança da Pesada;Um orador motivacional descobre que a herança que seu pai deixou para ele está na forma de um elefante.;Comédia,Família;5.6
Cadete Winslow;Após o roubo de uma ordem postal, um cadete de 14 anos é expulso do Naval College.Para salvar a honra do garoto e de sua família, o advogado preeminente do dia é envolvido para enfrentar o poder do Almirantado.;Drama,Romance;7.3
Paixão Bandida;Um ex-presidiário e seu irmão Crook Brook lutam pela mesma mulher.;Comédia,Policial,Drama;5.4
Confidencial;"Enquanto pesquisava para seu romance ""A Sangue Frio"", Truman Capote desenvolve um relacionamento íntimo com os assassinos condenados, Dick Hickock e Perry Smith.";Biografia,Policial,Drama;7.0
O Jogador;Um executivo de um estúdio de Hollywood recebe ameaças de morte de um escritor que ele rejeitou, mas qual?;Comédia,Policial,Drama;7.5
Confusões no Lava-Jato;A vida na lavagem do carro é um lugar onde tudo pode e acontece com dois amigos (Dr. Dre e Snoop Dogg), tentando ganhar dinheiro para pagar o aluguel.;Comédia;4.7
Era Uma Vez na China 3;Mestre Wong e seus discípulos se matriculam na 'competição de leão dançante' para parar uma trama de assassinato e combater um oponente arrogante e enganoso.;Ação,Aventura,Biografia;6.7
O Céu pode Esperar;O comediante Lance Barton sabe como é morrer no palco. Mas quando a vida toma um rumo inesperado—direto para o céu—Lance tem certeza de que houve um erro.;Comédia,Fantasia;5.4
Homens Perigosos;Gângsteres negros no Harlem de 1930 lutam contra Dutch Schultz, que está tentando se intrometer em seus esquemas.;Policial,Drama;6.3
Ao Cair da Noite;Danny é desprezado por seus colegas de escola porque seu pai foi acusado de matar outro homem e condenado à morte.;Policial,Drama,Filme noir;7.1
Performance;Um gângster violento procura refúgio da multidão na casa boêmia de uma ex -estrela do rock.;Policial,Drama;6.8
Hospital Maldito;Um punhado de estudantes universitários fica preso em um hospital assombrado no Halloween.;Aventura,Comédia,Fantasia;4.1
Homem Meteoro;Um professor do ensino médio de um bairro problemático de Washington DC de Washington se torna um herói superpoderado e assume a gangue que tem aterrorizando suas ruas.;Ação,Comédia,Fantasia;5.1
O Segredo;Um jovem recém-saído da faculdade de direito tenta conseguir um perdão para seu avô racista que está no corredor da morte.;Policial,Drama,Suspense;6.0
Sem Prada Nem Nada;Duas irmãs mimadas que ficaram sem dinheiro após a morte repentina do seu pai, são forçadas a morar com a sua tia no este de Los Angeles.;Ação,Comédia,Drama;5.5
Carrie, a Estranha;A Carre White, uma tímida y solitária adolescente desencadea suas potenças quando é humilhada por seus colegas do colegio.;Terror,Mistério;7.4
Sicilian Vampire;Partes iguais Goodfellas (1990) e do anoitecer até Dawn (1996).A renomada mafiosa Sonny Trafante esperava ir para o alojamento de caça à família para um pouco de descanso e relaxamento e criar algumas lembranças.Em vez disso, o que ele conseguiu foi uma noite que ele nunca esquecerá.;Policial,Drama,Terror;6.5
48 Horas;Um policial se junta com relutância a um criminoso astuto que está temporariamente em liberdade condicional para localizar um assassino.;Ação,Comédia,Policial;6.9
Pequenos Assassinatos;Comédia negra de arremesso sobre uma jovem nova-iorquina niilista que lida com a violência urbana difundida, telefonemas obscenos, canos de água enferrujados, blecautes elétricos, paranóia e conflito étnico-racial durante um verão típico da década de 1970.;Comédia,Policial;6.9
A Casa do Fim do Mundo;Um garoto que sofreu muitas perdas em sua vida cresce para a masculinidade e entra em um triângulo amoroso com uma mulher e seu amigo de infância.;Drama,Romance;6.6
O Justiceiro;Quando a família de Frank Castle é morta por criminosos, ele faz guerra ao crime como um assassino vigilante conhecido apenas como O Justiceiro.;Ação,Policial,Suspense;5.6
Uma Mente Brilhante;A vida do brilhante mas insociável matemático John Nash muda quando ele aceita um trabalho secreto em criptografia.;Biografia,Drama;8.2
Capricórnio Um;Uma missão da NASA a Marte não funcionará e seu financiamento está em perigo, então eles decidem fingir, mas eles têm que manter o segredo.;Ação,Aventura,Drama;6.8
O Expresso de Shanghai;Uma mulher notória monta um trem por uma situação perigosa com um capitão britânico que ela amava.;Aventura,Drama,Filme noir;7.3
Festa de Casamento;Veja Robert Deniro em seu primeiro papel de estrela em Brian DePalma, primeiro a festa de casamento de Brian DePalma!;Comédia;4.7
Kibar Feyzo;Uma vila feudal no sudeste da Turquia na década de 1970.Um pobre camponês, Feyzo retorna do serviço militar sonhando em se casar com Gülo, o amor de sua vida.No entanto, ele tem que enfrentar muitos obstáculos.Segundo a tradição, um homem tem que pagar muito dinheiro ao pai da noiva para obter a mão da noiva.Enquanto Feyzo está tentando lidar com a ganância de gulo '...;Comédia,Romance;8.7
11 x 14;Um dos filmes de vanguarda americanos mais elogiados nos últimos anos, o recurso de James Benning em 1977 é um mosaico lacônico de sequências de tiro único, cada uma oferecendo algum tipo de imagens/paradoxo de imagem/som.Ao mesmo tempo, uma narrativa criptográfica com uma história abstrata e de Peekaboo e um estudo fraturado e pintorly da paisagem americana do meio-oeste, 11x14 aponta para o creati ...;Drama;7.2
Mortuária;Uma família se muda para uma pequena cidade na Califórnia, onde planeja iniciar uma nova vida enquanto administra uma funerária de longa data.Os habitantes locais temem o local, que se suspeita de estar em terreno assombrado.;Terror,Mistério,Suspense;4.1
Transtorno Explosivo;Em sua busca selvagem por amor, a energia selvagem de 9 anos de Benni leva todos ao seu redor a se desesperar.;Drama;7.8
A Vila;Uma série de eventos testa as crenças de uma pequena aldeia rural isolada.;Drama,Mistério,Suspense;6.6
Ave, César!;Um fixador de Hollywood nos anos 50 trabalha para manter as estrelas do estúdio alinhadas.;Comédia,Drama,Mistério;6.3
Terror nas Trevas;"Uma jovem herda um antigo hotel, após uma série de ""acidentes"" sobrenaturais, ela descobre que o edifício foi construído sobre uma das entradas do Inferno.";Terror;6.6
Fukrey;Os caminhos de quatro amigos da faculdade que perseguem sonhos cruzam com uma variedade de personagens coloridos, de uma fêmea de Punjabi, de Don, que fala dura a um Watchman do Jugaad Baaz College.Mayhem segue.;Comédia,Drama,Romance;6.9
O Matador;Um assassino desiludido aceita um último golpe na esperança de usar seus ganhos para restaurar a visão de um cantor que ele acidentalmente cegou.;Ação,Policial,Drama;7.8
O Tigre e o Dragão;Uma jovem guerreira chinês rouba uma espada de um famoso espadachim e foge para um mundo de aventura romântica com um homem misterioso na fronteira do país.;Ação,Aventura,Drama;7.9
Alta Fidelidade;Rob, dono de uma loja de discos e criador de listas compulsivas, conta seus rompimientos amorosos mais importantes, incluindo a que está em curso.;Comédia,Drama,Musical;7.4
Tales of Halloween;Dez histórias são tecidas juntas pelo tema compartilhado da noite de Halloween em um subúrbio americano, onde ghouls, impas, alienígenas e assassinos de machado aparecem por uma noite apenas para aterrorizar moradores inocentes.;Aventura,Comédia,Fantasia;5.5
Certas Mulheres;As vidas de três mulheres se cruzam em uma pequena cidade americana, onde cada uma está abrindo imperfeitamente um caminho.;Drama;6.4
Desencanto;Ao encontrar um estranho em uma estação de trem, uma mulher é tentada a trair o marido.;Drama,Romance;8.0
Estranha Obsessão;Dois estudantes ricos da faculdade de direito vão a julgamento por assassinato nesta versão do caso Leopold-Loeb.;Biografia,Policial,Drama;7.4
A Cura;Um detetive frustrado lida com o caso de vários assassinatos horripilantes cometidos por pessoas que não se lembram do que fizeram.;Policial,Terror,Mistério;7.4
Os Cabeça-de-Vento;Três membros de uma banda esperando por uma grande oportunidade, vão a uma estação de rádio para tocar sua fita demo e acabam mantendo todos como reféns com armas de plástico quando o DJ principal se recusa a tocá-la.;Comédia,Policial,Musical;6.1
Neredesin Firuze;A história trágicômica de um jovem que quer ser um cantor famoso;Comédia,Drama,Musical;7.4
Corpus Christi;Daniel experimenta uma transformação espiritual em um centro de detenção. Embora seu registro criminal o impeça de concorrer ao seminário, ele não tem intenção de desistir de seu sonho e decide administrar a paróquia de uma cidade pequena.;Drama;7.7
Gladiator: O Desafio;Tommy Riley mudou-se com seu pai para Chicago de um 'lugar legal'. Ele fica sozinho, vai para a escola. No entanto, após uma briga de rua, ele é notado e rapidamente cai no mundo do boxe subterrâneo ilegal - onde os socos podem matar.;Ação,Drama,Esportes;6.5
O Senhor das Armas;Um traficante de armas confronta o moral de seu trabalho enquanto é perseguido por um agente da Interpol.;Policial,Drama;7.6
A Mulher Oculta;Durante uma viagem pela Europa continental, uma jovem rica percebe que uma senhora idosa parece ter desaparecido do trem.;Mistério,Suspense;7.8
Três Formas de Amar;Uma garota chamada Alex está por engano alojada com 2 caras, Stuart e Eddy, em uma suíte do dormitório da faculdade.Após problemas iniciais, eles se tornam amigos.Stuart tem o Hots para Alex, Alex para Eddy e Eddy para Stuart.Pode funcionar?;Comédia,Drama,Romance;6.3
O Livro de Cabeceira;Uma mulher com um fetiche por escrita corporal procura encontrar um amante e calígrafo combinados.;Drama;6.5
Meu Pequeno Ladrão;A vida de uma jovem fica peluda quando seu novo macaco de estimação acaba sendo uma batida de carteira treinada em fuga de um cigano intrigante.;Aventura,Comédia,Policial;5.3
Mais Forte Que Bombas;A família rebelde de um pai e dos seus dois filhos confrontam-se com os diferentes sentimentos e memórias da sua falecida esposa e mãe, uma famosa fotógrafa de guerra.;Drama;6.6
Evidências de um Crime;Um ex-policial que agora ganha um salário como faxineiro da cena do crime, sem saber, participa de um acobertamento em seu último emprego.;Policial,Mistério,Suspense;6.1
