Título;Descrição;Gênero;Nota
A Morte num Beijo;Quando uma bela loira é assassinada, um detetive reage de forma violenta. Durante as investigações, descobre uma misteriosa caixa preta que contém a solução do caso.;Policial,Filme noir,Mistério;7.5
Emmanuelle;A esposa de um diplomata francês em Bangcoc embarca em uma jornada de descoberta sexual.;Drama,Romance;5.2
O Sul;Uma mulher reflete sobre sua relação de infância com seu pai, tentando compreender a profundidade de seu desespero e a verdade de seus mitos.;Drama,Mistério,Romance;7.8
Marcas da Violência;Um homem torna-se um herói através de um ato de violência, que desencadeia repercussões na sua familia.;Ação,Policial,Drama;7.4
O Paraíso Infernal;Em um remoto porto comercial da América do Sul, o gerente de uma empresa de frete aéreo é forçado a arriscar a vida de seus pilotos para ganhar um importante contrato.;Aventura,Drama,Romance;7.6
Flor do Deserto;Waris Dirie, born 1965 in Somalia, flees at 13 when sold as 4th wife. She's maid at the Somalian embassy in London, then McDonald's, where she's discovered and becomes int'l top model. 1997, she speaks up against female genital mutilation.;Biografia,Drama;7.3
Megatubarão;Um grupo de cientistas da Fossa das Marianas encontram ao maior predador da historia, o Megalodon.;Ação,Terror,Ficção científica;5.6
Como Ela Dança;Following her sister's death from drug addiction, a high school student is forced to leave her private school to return to her old, crime-filled neighborhood where she re-kindles an unlikely passion for the competitive world of step dancing.;Drama;3.5
Agora e Sempre;Quatro meninas de 12 anos crescem juntas durante um verão agitado em uma pequena cidade em 1970.;Comédia,Drama,Romance;6.7
Elysium;No ano de 2154, os ricos vivem em uma estação espacial artificial, enquanto o resto da população reside em uma Terra em ruínas. Um homem assume uma missão que poderia trazer igualdade aos mundos polarizados.;Ação,Drama,Ficção científica;6.6
Disposto a Tudo;An aspiring actor's life gets upended when his ex-wife dumps their bossy, wild little daughter into his custody.;Comédia,Drama;5.5
Madrugada Muito Louca;Um funcionário de escritório descendente de coreanos e seu amigo chapado descendente de indianos embarcam em uma missão para satisfazer seu desejo por hambúrgueres White Castle.;Aventura,Comédia;7.0
Alexandre;Alexandre, o rei da Macedônia e um dos maiores líderes militares da história da guerra, conquistou grande parte do mundo conhecido.;Ação,Biografia,Drama;5.6
Earth;It's 1947 and the borderlines between India and Pakistan are being drawn. A young girl witnesses tragedy as her ayah (nanny) is caught between the love of two men and the rising tide of political and religious violence.;Drama,Romance,Guerra;7.6
Os Crimes de Snowtown;Baseado em fatos reais, Jamie, de 16 anos, se apaixona pelo namorado da sua mãe e sua turma de autointitulados vigias de bairro, um relacionamento que leva a uma onda de tortura e assassinato.;Biografia,Policial,Drama;6.6
O Peso da Água;A newspaper photographer researches an 1873 double homicide and finds her own life paralleling that of a witness who survived the tragic ordeal.;Policial,Drama,Mistério;5.8
Quase Ilegal;Three high school guys attempt to make a porno movie.;Comédia;4.7
Perseguição Implacável;Um ex-agente da CIA é obrigado a fugir após seus atuais empregadores apagarem todos os registros de sua existência e colocarem um preço sob sua cabeça. Ao lado de sua filha distante, ele se vê em meio a uma conspiração internacional.;Ação,Suspense;6.0
Wanted;Radhe is a ruthless gangster who will kill anyone for money. He is attracted towards Jhanvi, a middle class girl, who does not approve of his work and wants him to change.;Ação,Policial,Suspense;6.6
Maverick;Bret Maverick, que precisa de dinheiro para um torneio de pôquer, enfrenta vários contratempos e desafios, incluindo uma adorável ladra.;Ação,Aventura,Comédia;7.0
Pra Lá de Bagdá;A história de três homens não tão brilhantes, que inventam uma série de planos malucos para tirar um amigo da cadeia.;Comédia,Policial;6.6
Salt;Uma agente da CIA foge depois que um desertor a acusa de ser uma espiã russa.;Ação,Suspense;6.4
Morte na Universidade;"Two college roommates go out and party, resulting in bad grades. They learn of the clause that says, ""If your roommate dies, you get an A,"" and decide to find someone who is on the verge, so to speak, to move in with them.";Comédia;6.0
Vokzal dlya dvoikh;A waitress from the provincial railway station falls in love with an accidental passenger. Before this passenger lies the menace of distant prison for the crime he didn't commit.;Comédia,Drama,Romance;7.8
O Rei dos Falsários;"""Le Dabe"" retired many years ago and now he lives in the Tropics where he owns stables and horses. He is a very rich man. He was the king of all money counterfeiters. He is contacted from Paris to organize a new job. He says no. But when he finds out the the currency that should be counterfeited is the Dutch florin, he accepts immediately. He retired after having coun...";Comédia,Policial;7.0
Tetro;Bennie travels to Buenos Aires to find his long-missing older brother, a once-promising writer who is now a remnant of his former self. Bennie's discovery of his brother's near-finished play might hold the answer to understanding their shared past and renewing their bond.;Drama;6.8
Ne mozhet byt!;Three stories about a marriage - its betrayal, its boredom, its absurd.;Comédia,Drama,Musical;7.7
Terra Selvagem;Um veterano caçador ajuda a um agente do FBI a investigar um homicídio duma jovem mulher numa reserva indígena em Wyoming, Estados Unidos.;Policial,Drama,Mistério;7.7
Condenação Brutal;Apenas seis meses após sua sentença, o preso Frank Leone é transferido para uma prisão de segurança máxima.;Ação,Policial,Drama;6.4
A Casa do Espanto;Um escritor se muda para uma casa embruxada depois que sua tia se la deixa por herença.;Comédia,Fantasia,Terror;6.1
Rio Congelado;A mom looks for another source of income, when her husband leaves with the money meant for the new mobile home. A nearby Indian territory stretches across the border to Canada with a drivable frozen river between. Smuggling?;Policial,Drama;7.1
Violência Gratuita;Dois jovens psicopatas levam a uma família refém a sua cabana.;Policial,Drama,Suspense;6.5
Godzilla;Um gigante monstro destrue todo o que pode em Nova Iorque, para dete-lho um cientista, sua ex namorada e outro heróes deberám salvar a cidade.;Ação,Ficção científica,Suspense;5.4
O Amor em 5 Tempos;Cinco etapas no romance entre uma mulher e um homem.;Drama,Romance;6.6
A Caça;Um professor vive uma vida solitária enquanto luta pela custódia de seu filho. Sua vida melhora lentamente quando ele encontra o amor e recebe boas notícias de seu filho, mas sua sorte está prestes a mudar por uma pequena mentira inocente.;Drama;8.3
Uma Escola Muito Doida;Richard Clark has just left the well-known Wellington Academy to teach at Marion Barry High School. Now, he will try to inspire the D-average students into making good grades and try to woo a fellow teacher.;Comédia,Policial,Romance;5.5
Assalto à 13ª DP;Uma parceria improvável entre um oficial de patrulha rodoviária, dois criminosos e um secretário de delegacia é formada para defender uma delegacia extinta de Los Angeles contra o cerco de uma gangue de rua sanguinária.;Ação,Policial,Suspense;7.3
Narciso Negro;Um grupo de freiras lutam para estabelecer um convento no Himalaia, enquanto o isolamento, o clima extremo, a altitude e os confrontos culturais conspiram para enlouquecer os missionários bem-intencionados.;Drama;7.8
O Ódio;24 horas na vida de três jovens nos subúrbios franceses no dia seguinte a uma rebelião violenta.;Policial,Drama;8.1
O Voo da Fênix;Após um acidente de avião no Saara, um dos sobreviventes diz que ele é um projetista de aviões e que eles podem fazer um avião a partir dos destroços.;Aventura,Drama;7.5
Partner;A 'Love Guru' assists other males, woos a widowed single mother, but becomes embroiled in controversies.;Comédia,Drama,Romance;5.7
Bakha satang;Consiste das cinco fases da vida de um homem e sobre seu motivo para ter cometido suicídio no final.;Drama;7.6
Les bronzés;Holidaymakers arriving in a Club Med camp on the Ivory Coast are determined to forget their everyday problems and emotional disappointments. Games, competitions, outings, bathing and sunburn accompany a continual succession of casual affairs.;Comédia,Romance;6.8
Enter Nowhere;Three strangers arrive one by one at a mysterious cabin in the middle of nowhere only to learn they've been brought together for a reason.;Mistério,Ficção científica,Suspense;6.5
Uma Herança da Pesada;A motivational speaker discovers that the inheritance his father left for him is in the form of an elephant.;Comédia,Família;5.6
Cadete Winslow;Following the theft of a postal order, a 14-year-old cadet is expelled from Naval College. To save the honour of the boy and his family, the pre-eminent barrister of the day is engaged to take on the might of the Admiralty.;Drama,Romance;7.3
Paixão Bandida;An ex-convict and his bumbling crook brother fight for the same woman.;Comédia,Policial,Drama;5.4
Confidencial;"Enquanto pesquisava para seu romance ""A Sangue Frio"", Truman Capote desenvolve um relacionamento íntimo com os assassinos condenados, Dick Hickock e Perry Smith.";Biografia,Policial,Drama;7.0
O Jogador;Um executivo de um estúdio de Hollywood recebe ameaças de morte de um escritor que ele rejeitou, mas qual?;Comédia,Policial,Drama;7.5
Confusões no Lava-Jato;Life at the car wash is a place where anything can and does happen to two friends (Dr. Dre and Snoop Dogg) trying to earn money to pay their rent.;Comédia;4.7
Era Uma Vez na China 3;Master Wong and his disciples enroll in the 'Dancing Lion Competition' to stop an assassination plot and to battle an arrogant, deceitful opponent.;Ação,Aventura,Biografia;6.7
O Céu pode Esperar;O comediante Lance Barton sabe como é morrer no palco. Mas quando a vida toma um rumo inesperado—direto para o céu—Lance tem certeza de que houve um erro.;Comédia,Fantasia;5.4
Homens Perigosos;Gângsteres negros no Harlem de 1930 lutam contra Dutch Schultz, que está tentando se intrometer em seus esquemas.;Policial,Drama;6.3
Ao Cair da Noite;Danny é desprezado por seus colegas de escola porque seu pai foi acusado de matar outro homem e condenado à morte.;Policial,Drama,Filme noir;7.1
Performance;A violent gangster seeks refuge from the mob in the Bohemian home of a former rock star.;Policial,Drama;6.8
Hospital Maldito;A handful of college students get trapped in a haunted hospital on Halloween.;Aventura,Comédia,Fantasia;4.1
Homem Meteoro;A high school teacher from a troubled inner city Washington D.C. neighborhood becomes a super-powered hero and takes on the gang that has been terrorizing his streets.;Ação,Comédia,Fantasia;5.1
O Segredo;Um jovem recém-saído da faculdade de direito tenta conseguir um perdão para seu avô racista que está no corredor da morte.;Policial,Drama,Suspense;6.0
Sem Prada Nem Nada;Duas irmãs mimadas que ficaram sem dinheiro após a morte repentina do seu pai, são forçadas a morar com a sua tia no este de Los Angeles.;Ação,Comédia,Drama;5.5
Carrie, a Estranha;A Carre White, uma tímida y solitária adolescente desencadea suas potenças quando é humilhada por seus colegas do colegio.;Terror,Mistério;7.4
Sicilian Vampire;Equal parts Goodfellas (1990) and From Dusk Till Dawn (1996). Reputed mobster Sonny Trafficante was hoping to get away to the family hunting lodge for a little rest and relaxation and create some memories. Instead, what he got was a night he will never forget.;Policial,Drama,Terror;6.5
48 Horas;Um policial se junta com relutância a um criminoso astuto que está temporariamente em liberdade condicional para localizar um assassino.;Ação,Comédia,Policial;6.9
Pequenos Assassinatos;Pitch black comedy about a young nihilistic New Yorker coping with pervasive urban violence, obscene phone calls, rusty water pipes, electrical blackouts, paranoia and ethnic-racial conflict during a typical summer of the 1970s.;Comédia,Policial;6.9
A Casa do Fim do Mundo;A boy who has experienced many losses in his life grows to manhood and enters into a love triangle with a woman and his boyhood friend.;Drama,Romance;6.6
O Justiceiro;Quando a família de Frank Castle é morta por criminosos, ele faz guerra ao crime como um assassino vigilante conhecido apenas como O Justiceiro.;Ação,Policial,Suspense;5.6
Uma Mente Brilhante;A vida do brilhante mas insociável matemático John Nash muda quando ele aceita um trabalho secreto em criptografia.;Biografia,Drama;8.2
Capricórnio Um;Uma missão da NASA a Marte não funcionará e seu financiamento está em perigo, então eles decidem fingir, mas eles têm que manter o segredo.;Ação,Aventura,Drama;6.8
O Expresso de Shanghai;A notorious woman rides a train through a dangerous situation with a British captain she loved.;Aventura,Drama,Filme noir;7.3
Festa de Casamento;See Robert DeNiro in his first starring role in Brian DePalma's wildly comic first feature The Wedding Party!;Comédia;4.7
Kibar Feyzo;A feudal village in Southeastern Turkey in 1970's. A poor peasant, Feyzo returns from military service dreaming about getting married to Gülo, the love of his life. However, he has to face many obstacles. According to tradition, a man has to pay a lot of money to the bride's father in order to get the bride's hand. While Feyzo is trying to deal with the greed of Gulo'...;Comédia,Romance;8.7
11 x 14;One of the most widely praised American avant-garde films in recent years, James Benning's 1977 feature is a laconic mosaic of single-shot sequences, each offering some sort of image/sound pun or paradox. At once a crypto-narrative with an abstract, peekaboo storyline and a fractured, painterly study of the American midwestern landscape, 11x14 points toward the creati...;Drama;7.2
Mortuária;A family moves to a small town in California where they plan on starting a new life while running a long-abandoned funeral home. The locals fear the place, which is suspected to be on haunted ground.;Terror,Mistério,Suspense;4.1
Transtorno Explosivo;Em sua busca selvagem por amor, a energia selvagem de 9 anos de Benni leva todos ao seu redor a se desesperar.;Drama;7.8
A Vila;Uma série de eventos testa as crenças de uma pequena aldeia rural isolada.;Drama,Mistério,Suspense;6.6
Ave, César!;Um fixador de Hollywood nos anos 50 trabalha para manter as estrelas do estúdio alinhadas.;Comédia,Drama,Mistério;6.3
Terror nas Trevas;"Uma jovem herda um antigo hotel, após uma série de ""acidentes"" sobrenaturais, ela descobre que o edifício foi construído sobre uma das entradas do Inferno.";Terror;6.6
Fukrey;The paths of four dream-chasing college friends cross with an array of colourful characters, from a tough-talking Punjabi female don to a Jugaad Baaz college watchman. Mayhem ensues.;Comédia,Drama,Romance;6.9
O Matador;Um assassino desiludido aceita um último golpe na esperança de usar seus ganhos para restaurar a visão de um cantor que ele acidentalmente cegou.;Ação,Policial,Drama;7.8
O Tigre e o Dragão;Uma jovem guerreira chinês rouba uma espada de um famoso espadachim e foge para um mundo de aventura romântica com um homem misterioso na fronteira do país.;Ação,Aventura,Drama;7.9
Alta Fidelidade;Rob, dono de uma loja de discos e criador de listas compulsivas, conta seus rompimientos amorosos mais importantes, incluindo a que está em curso.;Comédia,Drama,Musical;7.4
Tales of Halloween;Ten stories are woven together by their shared theme of Halloween night in an American suburb, where ghouls, imps, aliens and axe murderers appear for one night only to terrorize unsuspecting residents.;Aventura,Comédia,Fantasia;5.5
Certas Mulheres;As vidas de três mulheres se cruzam em uma pequena cidade americana, onde cada uma está abrindo imperfeitamente um caminho.;Drama;6.4
Desencanto;Ao encontrar um estranho em uma estação de trem, uma mulher é tentada a trair o marido.;Drama,Romance;8.0
Estranha Obsessão;Dois estudantes ricos da faculdade de direito vão a julgamento por assassinato nesta versão do caso Leopold-Loeb.;Biografia,Policial,Drama;7.4
A Cura;Um detetive frustrado lida com o caso de vários assassinatos horripilantes cometidos por pessoas que não se lembram do que fizeram.;Policial,Terror,Mistério;7.4
Os Cabeça-de-Vento;Três membros de uma banda esperando por uma grande oportunidade, vão a uma estação de rádio para tocar sua fita demo e acabam mantendo todos como reféns com armas de plástico quando o DJ principal se recusa a tocá-la.;Comédia,Policial,Musical;6.1
Neredesin Firuze;The tragicomic story of a young man who wants to be a famous singer;Comédia,Drama,Musical;7.4
Corpus Christi;Daniel experimenta uma transformação espiritual em um centro de detenção. Embora seu registro criminal o impeça de concorrer ao seminário, ele não tem intenção de desistir de seu sonho e decide administrar a paróquia de uma cidade pequena.;Drama;7.7
Gladiator: O Desafio;Tommy Riley mudou-se com seu pai para Chicago de um 'lugar legal'. Ele fica sozinho, vai para a escola. No entanto, após uma briga de rua, ele é notado e rapidamente cai no mundo do boxe subterrâneo ilegal - onde os socos podem matar.;Ação,Drama,Esportes;6.5
O Senhor das Armas;Um traficante de armas confronta o moral de seu trabalho enquanto é perseguido por um agente da Interpol.;Policial,Drama;7.6
A Mulher Oculta;Durante uma viagem pela Europa continental, uma jovem rica percebe que uma senhora idosa parece ter desaparecido do trem.;Mistério,Suspense;7.8
Três Formas de Amar;A girl named Alex is by mistake housed with 2 guys, Stuart and Eddy, in a college dorm suite. After initial problems they become friends. Stuart has the hots for Alex, Alex for Eddy and Eddy for Stuart. Can it work?;Comédia,Drama,Romance;6.3
O Livro de Cabeceira;A woman with a body writing fetish seeks to find a combined lover and calligrapher.;Drama;6.5
Meu Pequeno Ladrão;A young girl's life turns hairy when her new pet monkey turns out to be a trained pickpocket on the run from a scheming gypsy.;Aventura,Comédia,Policial;5.3
Mais Forte Que Bombas;A família rebelde de um pai e dos seus dois filhos confrontam-se com os diferentes sentimentos e memórias da sua falecida esposa e mãe, uma famosa fotógrafa de guerra.;Drama;6.6
Evidências de um Crime;Um ex-policial que agora ganha um salário como faxineiro da cena do crime, sem saber, participa de um acobertamento em seu último emprego.;Policial,Mistério,Suspense;6.1
Sexy por Acidente;Uma mulher que luta contra a insegurança acorda de uma queda acreditando que ela é a mulher mais bonita e capaz do planeta. Sua nova confiança a capacita a viver sem medo, mas o que acontece quando percebe que sua aparência nunca mudou?;Comédia,Romance;5.6
Homesdale;Guests arrive at an expensive private guest house on a remote island near Sydney. The guest house and weird activities, like theatre sports and orienteering, are run by a leery eccentric. One of the guests is a loner and the only way to fit in with the crowd is to participate in the questionable events. Some of the games border between comedy and horror - like the mur...;Comédia,Drama;5.6
A Passagem;As tentativas de um psiquiatra para impedir que um dos seus pacientes cometa suicídio enquanto tenta manter seu próprio controle da realidade.;Drama,Mistério,Suspense;6.7
Infância Roubada;Relata a vida de Rosario, um menino de 11 anos que está crescendo em um ambiente de pobreza e crime em Nápoles. Enquanto sua avó está doente, ele se envolve na máfia italiana como sicário.;Policial,Drama;7.2
Secretária;Uma mulher recentemente liberada de um hospital psiquiátrico, consegue um emprego como secretária de um advogado exigente, o relacionamento entre o empregador e empregado se torna em sexual e sadomasoquista.;Comédia,Drama,Romance;6.9
Queremos Matar Gunther;Um grupo de assassinos estão fartos do Gunther, o maior assassino do mundo. Eles decidem matá-lo, mas seu plano se transforma em uma série de encontros frustrados, pois Gunther sempre está um passo à frente.;Ação,Comédia,Suspense;4.8
Suprema Conquista;A flamboyant Broadway impresario who has fallen on hard times tries to get his former lover, now a Hollywood diva, to return and resurrect his failing career.;Comédia,Romance;7.3
9: A Salvação;Uma boneca de pano que desperta em um futuro pós-apocalíptico é a chave para salvar a humanidade.;Animação,Ação,Aventura;7.0
Tão Forte e Tão Perto;Um menino de 9 anos perde seu pai no atentado de 11 de setembro em Nova York. Ele acha uma chave em sua casa e acredita ser uma mensagem de seu pai, começando uma grande expedição pela cidade para achar a fechadura que se abre com a chave.;Aventura,Drama,Mistério;6.9
O Anjo Malvado;Uma criança fica com sua tia e seu tio, e torna-se amigo de seu primo, uma criança da mesma idade que mostra cada vez mais sinais de comportamento violento e psicopata.;Drama,Suspense;6.4
Er shi si cheng ji;When a factory is being torn down in Chengdu, China, workers reflect on their experiences and the importance of the factory in their lives.;Documentário,Drama;7.1
Dügün Dernek;A group of people in an eastern Turkish village are enlisted to throw a big and brash wedding in ten days notice.;Comédia;7.0
